race_id	title	info1	info2	around_dir	around_inout	course_abc
202301020301	2歳未勝利	['芝右1800m', '天候:晴', '芝:良', '発走:09:50']	['2023年8月19日', '2回札幌3日目', '2歳未勝利', '指', '馬齢']			
202301020302	2歳未勝利	['ダ右1700m', '天候:晴', 'ダート:良', '発走:10:25']	['2023年8月19日', '2回札幌3日目', '2歳未勝利', '指', '馬齢']			
202301020303	3歳未勝利	['芝右1200m', '天候:晴', '芝:良', '発走:10:55']	['2023年8月19日', '2回札幌3日目', '3歳未勝利', '混', '指', '馬齢']			
202301020304	3歳未勝利	['ダ右1700m', '天候:晴', 'ダート:良', '発走:11:25']	['2023年8月19日', '2回札幌3日目', '3歳未勝利', '牝', '指', '馬齢']			
202301020305	2歳新馬	['芝右1500m', '天候:晴', '芝:良', '発走:12:15']	['2023年8月19日', '2回札幌3日目', '2歳新馬', '指', '馬齢']			
202301020306	3歳未勝利	['ダ右1700m', '天候:曇', 'ダート:良', '発走:12:45']	['2023年8月19日', '2回札幌3日目', '3歳未勝利', '指', '馬齢']			
202301020307	3歳未勝利	['芝右2000m', '天候:曇', '芝:良', '発走:13:15']	['2023年8月19日', '2回札幌3日目', '3歳未勝利', '指', '馬齢']			
202301020308	3歳以上1勝クラス	['ダ右1700m', '天候:小雨', 'ダート:良', '発走:13:45']	['2023年8月19日', '2回札幌3日目', '3歳以上1勝クラス', '牝', '指', '定量']			
202301020309	千歳特別(1勝)	['芝右1500m', '天候:小雨', '芝:良', '発走:14:15', '過去の千歳特別']	['2023年8月19日', '2回札幌3日目', '3歳以上1勝クラス', '特指', '定量']			
202301020310	富良野特別(1勝)	['芝右2000m', '天候:曇', '芝:良', '発走:14:50', '過去の富良野特別']	['2023年8月19日', '2回札幌3日目', '3歳以上1勝クラス', '混', '特指', '定量']			
202301020311	札幌日刊スポーツ杯(2勝)	['芝右2600m', '天候:曇', '芝:良', '発走:15:25', '過去の札幌日刊スポーツ杯']	['2023年8月19日', '2回札幌3日目', '3歳以上2勝クラス', '混', '指', 'ハンデ']			
202301020312	3歳以上1勝クラス	['ダ右1000m', '天候:曇', 'ダート:良', '発走:16:05']	['2023年8月19日', '2回札幌3日目', '3歳以上1勝クラス', '指', '定量']			
202301020401	2歳未勝利	['芝右1500m', '天候:曇', '芝:稍重', '発走:10:10']	['2023年8月20日', '2回札幌4日目', '2歳未勝利', '混', '指', '馬齢']			
202301020402	3歳未勝利	['ダ右1000m', '天候:曇', 'ダート:稍重', '発走:10:45']	['2023年8月20日', '2回札幌4日目', '3歳未勝利', '指', '馬齢']			
202301020403	3歳未勝利	['ダ右1700m', '天候:曇', 'ダート:稍重', '発走:11:15']	['2023年8月20日', '2回札幌4日目', '3歳未勝利', '混', '指', '馬齢']			
202301020404	3歳未勝利	['芝右2600m', '天候:曇', '芝:稍重', '発走:11:45']	['2023年8月20日', '2回札幌4日目', '3歳未勝利', '混', '指', '馬齢']			
202301020405	2歳新馬	['芝右2000m', '天候:曇', '芝:稍重', '発走:12:35']	['2023年8月20日', '2回札幌4日目', '2歳新馬', '混', '指', '馬齢']			
202301020406	3歳以上1勝クラス	['ダ右2400m', '天候:曇', 'ダート:稍重', '発走:13:05']	['2023年8月20日', '2回札幌4日目', '3歳以上1勝クラス', '混', '特指', '定量']			
202301020407	3歳以上1勝クラス	['芝右2000m', '天候:曇', '芝:稍重', '発走:13:35']	['2023年8月20日', '2回札幌4日目', '3歳以上1勝クラス', '牝', '指', '定量']			
202301020408	クローバー賞(OP)	['芝右1500m', '天候:曇', '芝:稍重', '発走:14:05', '過去のクローバー賞']	['2023年8月20日', '2回札幌4日目', '2歳オープン', '国際', '特指', '別定']			
202301020409	大通公園特別(2勝)	['ダ右1700m', '天候:曇', 'ダート:稍重', '発走:14:36', '過去の大通公園特別']	['2023年8月20日', '2回札幌4日目', '3歳以上2勝クラス', '混', '特指', '定量']			
202301020410	手稲山特別(2勝)	['芝右1200m', '天候:晴', '芝:稍重', '発走:15:11', '過去の手稲山特別']	['2023年8月20日', '2回札幌4日目', '3歳以上2勝クラス', '牝', '指', '定量']			
202301020411	第59回札幌記念(GII)	['芝右2000m', '天候:晴', '芝:稍重', '発走:15:45', '過去の札幌記念']	['2023年8月20日', '2回札幌4日目', '3歳以上オープン', '国際', '特指', '定量']			
202301020412	3歳以上1勝クラス	['ダ右1700m', '天候:曇', 'ダート:稍重', '発走:16:30']	['2023年8月20日', '2回札幌4日目', '3歳以上1勝クラス', '指', '定量']			
202301020501	2歳未勝利	['芝右1200m', '天候:晴', '芝:良', '発走:10:00']	['2023年8月26日', '2回札幌5日目', '2歳未勝利', '指', '馬齢']			
202301020502	2歳未勝利	['芝右1800m', '天候:晴', '芝:良', '発走:10:30']	['2023年8月26日', '2回札幌5日目', '2歳未勝利', '混', '指', '馬齢']			
202301020503	3歳未勝利	['ダ右1000m', '天候:晴', 'ダート:良', '発走:11:00']	['2023年8月26日', '2回札幌5日目', '3歳未勝利', '牝', '指', '馬齢']			
202301020504	3歳未勝利	['ダ右1700m', '天候:晴', 'ダート:良', '発走:11:30']	['2023年8月26日', '2回札幌5日目', '3歳未勝利', '指', '馬齢']			
202301020505	2歳新馬	['ダ右1700m', '天候:晴', 'ダート:良', '発走:12:20']	['2023年8月26日', '2回札幌5日目', '2歳新馬', '混', '指', '馬齢']			
202301020506	3歳未勝利	['芝右1500m', '天候:晴', '芝:良', '発走:12:50']	['2023年8月26日', '2回札幌5日目', '3歳未勝利', '混', '指', '馬齢']			
