horse_id	date	rank	prize	rank_diff	weather	race_type	course_len	ground_state	agari	race_class	n_horses
2012103532	2020-04-25	1	1350.0	0.0	0.0	2	3380	0.0	13.1	5.0	14.0
2012103532	2020-05-16	4	620.0	2.6	3.0	2	3930	1.0	14.6		10.0
2012103532	2020-08-29	4	440.0	0.6	0.0	2	3390	0.0	13.1		14.0
2012103532	2020-09-19	6	0.0	2.4	0.0	2	3300	0.0	13.1		13.0
2012103532	2021-02-06	1	1350.0	0.0	0.0	2	3390	0.0	13.5	5.0	14.0
2012103532	2021-02-27	2	667.4	0.4	1.0	2	3390	2.0	13.7	5.0	11.0
2012103532	2021-03-20	1	1679.4	0.0	1.0	2	3350	0.0	13.5	5.0	14.0
2012103532	2022-02-26	4	250.0	1.0	0.0	2	3390	0.0	13.4	5.0	12.0
2012103532	2022-04-16	3	1704.5	0.3	0.0	2	4250	2.0	13.8		9.0
2012103532	2022-10-16	10	0.0	7.8	1.0	2	3110	0.0	13.7		12.0
2012103532	2022-12-24	3	1705.5	0.8	0.0	2	4100	0.0	14.0		11.0
2012103532	2023-03-11	6	0.0	1.9	0.0	2	3900	0.0	13.5		12.0
2012103532	2023-11-11	6	0.0	1.0	0.0	2	3170	2.0	13.9		12.0
2012103532	2023-12-23	7	0.0	4.9	0.0	2	4100	0.0	13.8		12.0
2012104463	2014-10-12	1	700.0	0.0	0.0	1	1800	0.0	34.3	0.0	9.0
2012104463	2014-11-01	5	150.0	0.4	1.0	1	1800	0.0	34.3	5.0	6.0
2012104463	2014-12-28	6	0.0	0.4	0.0	1	2000	0.0	34.8		17.0
2012104463	2015-03-08	1	1021.7	0.0	1.0	1	1800	2.0	36.7	2.0	9.0
2012104463	2015-03-28	8	0.0	0.4	0.0	1	1800	0.0	34.5		15.0
2012104463	2015-05-02	14	0.0	1.6	0.0	1	2400	0.0	35.7		18.0
2012104463	2015-05-30	10	0.0	0.6	0.0	1	1800	0.0	33.6	5.0	14.0
2012104463	2015-09-05	1	1533.6	0.0	1.0	1	2000	0.0	34.2	5.0	15.0
2012104463	2015-10-25	18	0.0	3.6	0.0	1	3000	0.0	38.3		18.0
2012104463	2015-12-27	12	0.0	1.4	0.0	1	2000	0.0	36.6	4.0	13.0
2012104463	2016-01-24	3	464.5	0.3	0.0	1	1600	0.0	34.3	4.0	15.0
2012104463	2016-02-13	9	0.0	0.9	3.0	1	1600	0.0	33.6	5.0	10.0
2012104463	2016-05-01	16	0.0	1.6	0.0	1	1400	0.0	34.7	4.0	16.0
2012104463	2016-05-28	2	742.0	0.1	1.0	1	1400	0.0	33.2	4.0	18.0
2012104463	2016-06-19	2	607.8	0.5	2.0	1	1600	1.0	33.9	5.0	12.0
2012104463	2016-07-23	4	230.0	0.4	1.0	1	1600	0.0	34.4	5.0	14.0
2012104463	2016-11-12	1	1530.8	0.0	0.0	1	1600	0.0	34.8	5.0	14.0
2012104463	2016-12-18	5	182.0	0.2	0.0	1	1600	0.0	33.8	4.0	15.0
2012104463	2017-01-14	5	182.0	0.3	1.0	1	1600	0.0	34.2	4.0	14.0
2012104463	2017-02-11	6	0.0	0.7	0.0	1	1800	1.0	35.0	4.0	12.0
2012104463	2017-07-15	7	0.0	0.4	0.0	1	2000	0.0	33.6	4.0	11.0
2012104463	2017-08-13	1	1843.8	0.0	0.0	1	2000	0.0	34.4	4.0	11.0
2012104463	2017-11-12	11	0.0	0.6	1.0	1	2000	0.0	35.6		15.0
2012104463	2017-12-02	7	0.0	1.1	0.0	1	2000	0.0	35.9		12.0
2012104463	2018-01-06	9	0.0	0.4	0.0	1	1600	0.0	34.6		13.0
2012104463	2018-02-18	5	410.0	0.7	0.0	1	1800	0.0	34.2		16.0
2012104463	2018-04-01	14	0.0	1.8	0.0	1	2000	0.0	34.7		16.0
2012104463	2018-05-12	4	360.0	0.5	0.0	1	1800	0.0	34.3	5.0	14.0
2012104463	2018-06-17	3	583.6	0.9	0.0	1	1600	0.0	34.5	5.0	12.0
2012104463	2018-07-22	1	2433.6	0.0	0.0	1	1800	0.0	34.9	5.0	16.0
2012104463	2018-08-26	6	0.0	0.7	0.0	1	1800	0.0	34.6	5.0	8.0
2012104463	2018-11-11	14	0.0	1.8	0.0	1	2000	0.0	35.8		16.0
2012104463	2018-12-08	7	0.0	1.1	0.0	1	2000	0.0	36.0		14.0
2012104463	2019-01-13	12	0.0	2.7	0.0	1	2400	0.0	39.4		16.0
2012104463	2019-05-18	14	0.0	1.3	0.0	1	1800	0.0	34.5	5.0	15.0
2012104463	2019-10-27	16	0.0	1.9	0.0	1	1800	0.0	37.3		17.0
2012104463	2019-11-16	11	0.0	1.0	0.0	1	2000	0.0	35.1		17.0
2012104463	2019-12-22	16	0.0	3.0	3.0	0	1400	2.0	38.8	5.0	16.0
2012104463	2020-02-15	2	320.0	1.0	1.0	2	2910	2.0	13.8	1.0	14.0
2012104463	2020-03-08	4	120.0	1.3	3.0	2	3000	3.0	13.8	1.0	14.0
2012104463	2020-05-09	13	0.0	4.9	0.0	2	2890	0.0	13.4	1.0	14.0
2012104463	2020-06-21	3	200.0	1.0	0.0	2	2970	0.0	13.9	1.0	10.0
2012104463	2020-07-19	1	790.0	0.0	0.0	2	2970	0.0	13.5	1.0	13.0
2012104463	2020-08-15	2	540.0	0.4	0.0	2	2860	0.0	13.1	5.0	12.0
2012104463	2020-09-26	4	250.0	0.6	1.0	2	3210	2.0	13.6	5.0	14.0
2012104463	2020-10-31	1	1350.0	0.0	0.0	2	2750	0.0	12.9	5.0	13.0
2012104463	2021-01-09	2	668.4	1.1	0.0	2	3200	0.0	13.4	5.0	14.0
2012104463	2021-02-06	2	540.0	0.2	0.0	2	3390	0.0	13.5	5.0	14.0
2012104463	2021-03-20	3	414.2	0.6	1.0	2	3350	0.0	13.5	5.0	14.0
2012104463	2021-05-22	5	135.0	3.6	1.0	2	3290	1.0	13.4	5.0	14.0
2012104463	2021-07-03	1	1350.0	0.0	1.0	2	2750	0.0	13.0	5.0	12.0
2012104463	2021-08-28	2	1208.4	0.2	0.0	2	3390	0.0	13.3		8.0
2012104463	2021-11-13	6	0.0	1.8	1.0	2	3140	0.0	13.4		13.0
2012104463	2022-02-26	6	0.0	1.1	0.0	2	3390	0.0	13.4	5.0	12.0
2012104463	2022-03-26	7	0.0	1.2	2.0	2	3350	2.0	13.5	5.0	10.0
2012104463	2022-08-27	3	736.6	0.2	0.0	2	3390	0.0	13.2		13.0
2012104463	2022-11-12	2	1213.0	1.1	0.0	2	3140	0.0	13.2		13.0
2012104463	2022-12-03	4	250.0	1.8	1.0	2	3570	0.0	13.6	5.0	14.0
2012104504	2014-07-27	2	280.0	0.1	1.0	0	1700	2.0	39.6	0.0	13.0
2012104504	2014-08-23	4	75.0	0.9	0.0	0	1700	1.0	38.1	1.0	13.0
2012104504	2014-09-06	1	500.0	0.0	0.0	0	1700	0.0	37.5	1.0	13.0
2012104504	2014-12-14	3	180.0	0.3	0.0	0	1800	0.0	38.4	2.0	14.0
2012104504	2015-01-05	1	720.0	0.0	0.0	0	1800	2.0	35.7	2.0	8.0
2012104504	2015-04-05	11	0.0	1.4	2.0	0	1800	2.0	38.9	5.0	14.0
2012104504	2015-05-03	8	0.0	1.1	0.0	0	1400	0.0	38.2	5.0	16.0
2012104504	2015-05-24	6	0.0	0.9	0.0	0	1800	0.0	38.1	5.0	10.0
2012104504	2015-06-21	7	0.0	1.4	2.0	0	1600	2.0	37.5		16.0
2012104504	2015-07-19	2	608.2	0.3	1.0	0	1700	0.0	37.6	5.0	13.0
2012104504	2015-08-02	1	1529.4	0.0	0.0	0	1700	0.0	37.6	5.0	13.0
2012104504	2015-09-19	7	0.0	1.2	0.0	0	1800	0.0	37.8	4.0	11.0
2012104504	2015-10-10	8	0.0	0.8	1.0	0	1800	0.0	38.5	4.0	12.0
